name,handle,profile_url,confidence,followers,evidence
Nicolle Figueroa,nicollefigueroaa,https://www.tiktok.com/@nicollefigueroaa,confirmed,33.3M,"TWO Miracle Moo videos found (7370905706226076970, 7436927845638622510)"
valereviews,valereviews,https://www.tiktok.com/@valereviews,confirmed,,"video: 'Puedes encontrar el calostro bovino en la TikTok Shop!'"
salud_digestiva1,salud_digestiva1,https://www.tiktok.com/@salud_digestiva1,confirmed,2.5M,"Spanish digestive-health creator posting bovine colostrum content"
wellnesssecretss,wellnesssecretss,https://www.tiktok.com/@wellnesssecretss,confirmed,,"gut health / bloating / probiotic content - direct niche fit"
ShopDealsByQuis,shopdealsbyquis,https://www.tiktok.com/@shopdealsbyquis,confirmed,,"exact handle match; TikTok Shop deals creator"
mysterypackfinds,mysterypackfinds,https://www.tiktok.com/@mysterypackfinds,confirmed,,"exact handle match; supplements + TikTok Shop content"
aliviadonai,aliviadonai,https://www.tiktok.com/@aliviadonai,confirmed,4.7M,"exact handle match; note 2nd account @aliviadonaii (150K)"
Creakzzz,creakzshop,https://www.tiktok.com/@creakzshop,confirmed,,"display name 'Creakzzz' but handle differs; supplement/debloat content"
JESSYKARINA,mrsplaytoomuch,https://www.tiktok.com/@mrsplaytoomuch,confirmed,,"display name JESSYKARINA; handle differs"
Marissa Jalea,mamarissax2,https://www.tiktok.com/@mamarissax2,likely,3.5M,"display name matches; mom-of-twins WI; Nutricost link unverified"
Tawny's reviews,,,not_found,,"@tawny501 exists but name does not match"
shopwithgigi,,,not_found,,"no account surfaced"
Digestiveglownatural,,,not_found,,"no account surfaced"
Chloe Heer,,,not_found,,"other Chloes returned; none named Heer"
jacquie,,,not_found,,"name too generic to disambiguate"
The Healthy Truth,,,not_found,,"no handle surfaced"
