likes,views,engagement_pct,post_date,creator_handle,creator_name,followers,shop_video,video_url,caption
106900,1700000,6.29,2024-10-11,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7424308345445715246,Thanks to this amazing woman im finally starting to feel better #greenscreen #greenscreenv
43200,2500000,1.73,2025-07-22,@faithkilla0116,Tiffany Faith,1400000,YES,https://www.tiktok.com/@faithkilla0116/video/7529938302665854221,#ttslevelup #tiktokshopcreatorpicks #dealsforyoudays #primalqueen #supplement
40100,529600,7.57,2026-04-07,@rabeyakhat,RabeyaKhatun,1900000,no,https://www.tiktok.com/@rabeyakhat/video/7626095453376924942,#primalqueen #kikcoin
14100,3800000,0.37,2025-06-01,@cleanbritchesllc,Destin✨| MOM+LIFE+FITNESS,108200,YES,https://www.tiktok.com/@cleanbritchesllc/video/7511050671185988895,Should have came with a WARNING! #supplements #energy #sex #mood #weightloss #primalqueen 
13800,930600,1.48,2025-02-17,@earthto.kam,✨kameron,102600,YES,https://www.tiktok.com/@earthto.kam/video/7472391615173184811,will update yall next week 😭 #honestreview #selfcare
9826,3300000,0.3,2025-01-23,@linzbuzzard,Lindsay | WFH Mom,37900,YES,https://www.tiktok.com/@linzbuzzard/video/7463223910578916654,@Primal Queen I love you forever 🫶🏼 best supplement for women made by women ⚡️ #primalquee
8566,1200000,0.71,2025-06-26,@anavaleria80,Ana Valeria Vela,167900,YES,https://www.tiktok.com/@anavaleria80/video/7520357349584801055,Me estoy arriesgando al subir esto pero necesito que las mujeres vean este producto. Vayan
5367,350900,1.53,2024-03-22,@pq.founder.shelby,PQ Shelby,1094,no,https://www.tiktok.com/@pq.founder.shelby/video/7349277263839415595,What to expect from taking Primal Queen after 1 month of use ☺️ stay tuned for part 3!  #p
5312,918000,0.58,2024-12-03,@drchrispharmd,DrChrisPharmD,353500,YES,https://www.tiktok.com/@drchrispharmd/video/7443968525431082271,"Replying to @the_naturalist meat organs are a great source of iron, vitamin A, and folate."
5292,103700,5.1,2024-10-12,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7424974076248313134,Im so glad i came across this  #greenscreenvideo #greenscreen #irondeficiency #anemia #ane
4593,351500,1.31,2026-05-18,@drew.review1,Drew Review,162900,YES,https://www.tiktok.com/@drew.review1/video/7641050525349219598,Scientifically backed natural alternatives for alleviating joint pain! #kneepain #painreli
4393,157500,2.79,2024-11-11,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7435836805443931438,Replying to @myskinchronicles  Yeah thankfully it wasnt JUST my iron levels.. my life has 
3943,76100,5.18,2026-07-29,@low.iron.living,Low Iron Living,103100,no,https://www.tiktok.com/@low.iron.living/video/7667786739208949022,"If you're dealing with low iron, these are the 3 supplements that have made the biggest di"
3796,1200000,0.32,2025-12-04,@raeliishae,RaeliiShae,31200,shop-other,https://www.tiktok.com/@raeliishae/video/7580124223855774990,Creatine gummy’s that taste so good! Like a pink ⭐️ burst!! 🩷  ##BBL##creatine##primalquee
3781,31000,12.2,2026-02-17,@kadiem84,Kadijah✨,9839,YES,https://www.tiktok.com/@kadiem84/video/7607860303069596942,"I don’t stick to things that don’t work for me 🤷‍♀️ If it’s in my routine, it earned its s"
3670,91200,4.02,2025-02-26,@hiamandabutler,Amanda Butler,112200,no,https://www.tiktok.com/@hiamandabutler/video/7475545790308715822,"Supplements I take for fatigue and low energy. For my cancer baddies, hormone dysregulated"
3652,142700,2.56,2026-01-29,@the_health_plug,Cory Webster,47100,no,https://www.tiktok.com/@the_health_plug/video/7600926269739453709,Things that worked for me this cycle that I did differently. Trying to conceive.  ##ttc##p
3522,448900,0.78,2026-05-13,@prettypickedd,Adrienne ✨🛒,288800,shop-other,https://www.tiktok.com/@prettypickedd/video/7639364689998269710,The only way to see progress has been these #tiktokshopcreatorpicks #tiktokshopstockup #ti
3461,59600,5.81,2026-03-25,@low.iron.living,Low Iron Living,103100,no,https://www.tiktok.com/@low.iron.living/video/7621216953335663903,Comment ‘supplement routine’ and I’ll send over a link for 25% off any Mary Ruth supplemen
3397,59100,5.75,2024-12-06,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7445433419464527150,My mom and sister take them too #greenscreenvideo #greenscreen #beeforgans #beefliver #ane
3311,312600,1.06,2026-02-12,@thedoctorincowgirlboots,TheDoctorInCowgirlBoots,10800,YES,https://www.tiktok.com/@thedoctorincowgirlboots/video/7605817785544887583,DON’T EAT THESE 🤭 #PrimalQueen #womenssupplements #beeforgans #motherhood #momlife
