513 URLs on file, 26 already resolved, 487 to fetch
  [25/487] 25 resolved, 0 unavailable
  [50/487] 50 resolved, 0 unavailable
  [75/487] 75 resolved, 0 unavailable
  [100/487] 100 resolved, 0 unavailable
  [125/487] 125 resolved, 0 unavailable
  [150/487] 150 resolved, 0 unavailable
  [175/487] 175 resolved, 0 unavailable
  [200/487] 200 resolved, 0 unavailable
  [225/487] 225 resolved, 0 unavailable
  [250/487] 250 resolved, 0 unavailable
  [275/487] 275 resolved, 0 unavailable
  [300/487] 300 resolved, 0 unavailable
  [325/487] 325 resolved, 0 unavailable
  [350/487] 350 resolved, 0 unavailable
